Subject ,Gender,Drug,Time,Globalscore,WDS,Tremors,Writhes,Retropulsion,Hind Leg Scratch,Yawn,Facial rubs,facetwitch,Archedbackposture,Ambulatorytime,Ambulatorycounts,Ambulatorydistance,Ambulatoryepisodes,ambulatoryspeeds,Stereotypictime,Stereotypiccounts,Restingtime
ALB73,Male,Vehicle,96,6,1,2,0,0,2,1,0,0,0,4.4,84,333.1,9,76.5,185.6,2124,1610.1
ALB74,Male,Vehicle,96,5,1,0,1,0,1,1,0,1,0,4.1,43,300.7,5,36.2,92,994,1703.8
ALB109,Male,Vehicle,96,5.5,1.5,0,0,2,0,0,0,1,1,15.9,317,942.6,25,63.6,248.7,2819,1535.5
ALB110,Male,Vehicle,96,26.5,6.5,0,2,0,17.5,0.5,0,0,0,12.3,144,497.4,18,42.1,195.1,2098,1592.7
ALB123,Male,Vehicle,96,14,1,7,0,0,2,3,1,0,0,24.5,549,1686.1,34,66.1,195.4,2628,1580.2
ALB124,Male,Vehicle,96,7,2,0,0,0,2,2,0,1,0,21.5,417,1113.1,30,62.8,193.3,2201,1585.3
ALB134,Male,Vehicle,96,,,,,,,,,,,,,,,,,,
ALB135,Male,Vehicle,96,,,,,,,,,,,,,,,,,,
ALB139,Male,Vehicle,96,,,,,,,,,,,,,,,,,,
ALB151,Male,Vehicle,96,3,1,0,0,0,2,0,0,0,0,19.1,387,1527.2,43,90,284.2,3514,1496.7
ALB69,Male,WIN,6,,,,,,,,,,,,,,,,,,
ALB71,Male,WIN,6,,,,,,,,,,,,,,,,,,
ALB77,Male,WIN,6,,,,,,,,,,,,,,,,,,
ALB78,Male,WIN,6,,,,,,,,,,,,,,,,,,
ALB111,Male,WIN,6,20,6,0,1,6,2,0,4,0,1,21.7,296,1362.6,31,60,251.4,2933,1527
ALB112,Male,WIN,6,12,2,4,0,1,1,0,4,0,0,17.8,292,1209.3,28,65.2,277.6,3275,1504.7
ALB121,Male,WIN,6,22,10,3,0,4,0,0,4,0,1,21.8,366,1589.7,36,69.2,263.1,3238,1515.2
ALB122,Male,WIN,6,31,4,5,0,8,2,0,7,2,3,49.7,878,2809.9,78,65.4,352.1,4646,1398.3
ALB136,Male,WIN,6,,,,,,,,,,,,,,,,,,
ALB137,Male,WIN,6,42,2,19,3,3,0,0,13,1,1,45.6,895,2712.5,77,67.2,311.8,4060,1442.7
ALB140,Male,WIN,6,36,12,8,0,2,7,0,6,1,0,20.5,289,1290.7,29,70.5,269.2,3426,1483.4
ALB141,Male,WIN,6,26,6,6,3,3,2,0,5,0,1,28.2,446,1749.2,37,61.7,318,3713,1543.9
ALB152,Male,WIN,6,23,11,2,1,3,3,1,2,0,0,32.9,551,1776.8,46,54.8,259.1,3241,1508
ALB69,Male,WIN,10,18,1,14,1,0,1,0,0,1,0,22.7,336,1479.4,36,59,310.4,3565,1466.35
ALB71,Male,WIN,10,18,2,13,0,3,0,0,0,0,0,3.9,61,468.2,3,100.6,189.5,2142,1606.6
ALB77,Male,WIN,10,17,2,9,0,0,2,0,1,0,3,4.9,108,653.2,10,132.3,182.1,2072,1613
ALB78,Male,WIN,10,19,3,3,1,2,7,2,0,0,1,12.6,143,1040.2,11,28,287.1,3075,1500.3
ALB111,Male,WIN,10,8.5,1.5,0.5,0,1,2,0,1,0.5,2,19.9,241,1194.9,27,49.1,318.5,3556,1461.6
ALB112,Male,WIN,10,6,0,3,0,1,2,0,0,0,0,11.5,172,923.4,16,59.4,346.3,4006,1442.3
ALB121,Male,WIN,10,34,2,4,1,2,13,0,5,6,1,18.2,285,1173.1,22,49,258.8,2913,1523.1
ALB122,Male,WIN,10,35,9,12,2,3,1,2,5,1,0,25.2,376,1479.4,38,55.6,261.7,3059,1513.1
ALB136,Male,WIN,10,,,,,,,,,,,,,,,,,,
ALB137,Male,WIN,10,,,,,,,,,,,,,,,,,,
ALB140,Male,WIN,10,,,,,,,,,,,,,,,,,,
ALB141,Male,WIN,10,,,,,,,,,,,,,,,,,,
ALB152,Male,WIN,10,12,8,1,1,2,0,0,0,0,0,21.6,593,1744.8,63,123.3,233.4,3088,1545.1
ALB69,Male,WIN,24,15,6.5,3,0,0,5.5,0,0,0,0,23.65,325,1173.2,35,50.7,224.8,2628,1551.6
ALB71,Male,WIN,24,15,2,5,2,3,0,2,0,0,1,7.85,82,598.3,8,27.3,205.4,2296,1586.8
ALB77,Male,WIN,24,15,5,3,0,0,5,0,2,0,0,13.4,231,1051.3,17,75.6,285,3219,1501.6
ALB78,Male,WIN,24,39,10,6,1,0,12,7,1,1,1,8.35,95,786.4,5,26.3,228.1,2458,1563.6
ALB111,Male,WIN,24,25,6,3,3,0.5,8.5,1,1,2,0,18.4,242,1070.8,26,54.2,196.1,2212,1585.5
ALB112,Male,WIN,24,4.5,0,2.5,0,1,0,0,1,0,0,2.9,39,273.5,39,65,188,2071,1609.2
ALB121,Male,WIN,24,23,8,1,0,1,10,0,1,1,1,9.6,142,597.7,13,46.1,151.7,1678,1638.7
ALB122,Male,WIN,24,29,8,6,3,1,7,0,4,0,0,29.6,421,1424.3,41,56,328.9,3783,1441.6
ALB136,Male,WIN,24,,,,,,,,,,,,,,,,,,
ALB137,Male,WIN,24,,,,,,,,,,,,,,,,,,
ALB140,Male,WIN,24,,,,,,,,,,,,,,,,,,
ALB141,Male,WIN,24,,,,,,,,,,,,,,,,,,
ALB152,Male,WIN,24,17,8,6,0,2,1,0,0,0,0,18.6,276,1092.1,26,48.2,274.3,3389,1507.2
ALB69,Male,WIN,48,30,7,10,1,0,12,0,0,0,0,15.45,203,1027.5,25,53.6,241.7,2766,1542.9
ALB71,Male,WIN,48,27,8,11,1,0,4,3,0,0,0,6.6,82,501.1,8,44,182.6,2007,1610.9
ALB77,Male,WIN,48,8,3,1,3,1,0,0,0,0,0,7.5,138,682.8,11,96,231.7,2679,1560.8
ALB78,Male,WIN,48,27,4,6,1,0,14,2,0,0,0,24.7,239,1511.2,26,27.8,270.1,2930,1505.2
ALB111,Male,WIN,48,16.5,7,1.5,1.5,2.5,4,0,0,0,0,13.5,160,756.7,15,36.2,193.9,2197,1592.7
ALB112,Male,WIN,48,12.5,4.5,4.5,0,1,1,0,0,1.5,0,4.8,60,420.8,4,55.6,184.8,2046,1610.5
ALB121,Male,WIN,48,29,9,2,1,6,8,0,3,0,0,31.1,610,1754.5,49,73.5,245.7,3202,1523.3
ALB122,Male,WIN,48,23,4,4,0,4,7,0,4,0,0,22.2,362,1130,32,58,198.5,2361,1577.5
ALB136,Male,WIN,48,,,,,,,,,,,,,,,,,,
ALB137,Male,WIN,48,,,,,,,,,,,,,,,,,,
ALB140,Male,WIN,48,,,,,,,,,,,,,,,,,,
ALB141,Male,WIN,48,,,,,,,,,,,,,,,,,,
ALB152,Male,WIN,48,25,8,9,0,3,2,0,1,0,2,15.5,266,1102.5,21,68.4,279.2,3312,1505.4
ALB69,Male,WIN,72,21,5,1,0,0,15,0,0,0,0,32.9,582,1736.4,62,68.6,234.3,2791,1532.9
ALB71,Male,WIN,72,20,4,5,0,0,8,3,0,0,0,9.85,132,677.3,16,42,200.6,2283,1589.6
ALB77,Male,WIN,72,14,4,5,2,2,0,1,0,0,0,4.8,61,522.1,2,25.2,239.3,2599,1556
